MUN_LPI;latitude;longitude
RIBEIRÃO PRETO;-21.1776315;-47.8100983
DELFINÓPOLIS;-20.344749;-46.8546425
POTÉ;-17.8074949;-41.7892455
TEÓFILO OTONI;-17.8579267;-41.5081533
UBAPORANGA;-19.6344637;-42.1073048
CARATINGA;-19.7900887;-42.140533
NOVO CRUZEIRO;-17.4674406;-41.8767107
SÃO SEBASTIÃO DO MARANHÃO;-18.0859051;-42.5694478
ITAMBACURI;-18.0391974;-41.6751876
PAULISTAS;-18.4268235;-42.8689535
IPANEMA;-19.7999954;-41.7138807
SANTA LÚCIA;-21.6861811;-48.0836814
MALACACHETA;-17.8428204;-42.0786194
LADAINHA;-17.627754;-41.738196
SETUBINHA;-17.6001378;-42.1620269
IMBÉ DE MINAS;-19.5989453;-41.9694294
BATATAIS;-20.892867;-47.592149
INHAPIM;-19.5501834;-42.1209879
XAMBIOÁ;-6.4084693;-48.5336069
FREI GASPAR;-18.0633426;-41.4300673
ARAÇUAÍ;-16.8484451;-42.0661868
CONCEIÇÃO DE IPANEMA;-19.9290384;-41.6905072
JANUÁRIA;-15.4875;-44.361111
JOSÉ RAYDAN;-18.2220672;-42.4991123
SANTA RITA DO ITUETO;-19.3576722;-41.3801488
IBATIBA;-20.2342792;-41.5082981
SIMONÉSIA;-20.1233838;-42.0024294
COLATINA;-19.5346732;-40.6287836
PANCAS;-19.2239225;-40.8502555
PEDRA AZUL?;-16.0058567;-41.2793731
LAJINHA;-20.1520595;-41.6240623
SANTA RITA DE MINAS;-19.8745404;-42.1325122
VARGEM GRANDE DO RIO PARDO;-15.4027415;-42.311441
MANHUAÇU;-20.2574434;-42.0340769
POCRANE;-19.6201477;-41.6365906
IPATINGA;-19.4777807;-42.5270802
ITARANA;-19.8748185;-40.8762716
AIMORÉS;-19.4917754;-41.0615603
IRUPI;-20.346479;-41.6392581
ITUETA;-19.3962456;-41.2263075
SÃO ROQUE DO CANAÃ;-19.7385942;-40.6598575
SÃO JOÃO EVANGELISTA;-18.548023;-42.7652888
BOM JESUS DO GALHO;-19.8283191;-42.3162256
AFONSO CLÁUDIO;-20.0744817;-41.1251335
MUNIZ FREIRE;-20.4636068;-41.4137007
BREJETUBA;-20.1465817;-41.2902303
PADRE PARAÍSO;-17.0750322;-41.4850334
REDUTO;-20.2442531;-41.9839974
ESMERALDAS;-19.7613111;-44.3145945
CONCEIÇÃO DO CASTELO;-20.3601311;-41.2470343
ARACRUZ;-19.8245218;-40.2735025
CAPITÓLIO;-20.6114193;-46.1326543
SANTA MARIA DE JETIBÁ;-20.025296;-40.743931
MANHUMIRIM;-20.3599141;-41.9554606
VARGEM ALTA;-20.6733324;-41.0107231
OURO VERDE DE MINAS;-18.0695301;-41.272395
DOMINGOS MARTINS;-20.3646483;-40.6585797
CONCEIÇÃO DA BARRA;-18.5841421;-39.7371844
PORCIÚNCULA;-20.8956337;-41.9332211
FORTUNA DE MINAS;-19.561662;-44.4451854
LARANJA DA TERRA;-19.9000548;-41.0567612
