MUN_OCOR;Latitude;Longitude
MORRO AGUDO;-20.7276692;-48.052795
MARAPOAMA;-21.2574769;-49.1314719
FERNANDÓPOLIS;-20.2825647;-50.2500762
TABAPUÃ;-20.9648397;-49.0332398
JARDINÓPOLIS;-21.0255126;-47.7706807
IBATIBA;-20.2342792;-41.5082981
LADAINHA;-17.627754;-41.738196
IÚNA;-20.3427029;-41.5360386
ÁGUA BOA;-17.9956411;-42.3899261
POTÉ;-17.8074949;-41.7892455
COLATINA;-19.5346732;-40.6287836
JOSÉ RAYDAN;-18.2220672;-42.4991123
MALACACHETA;-17.8428204;-42.0786194
TEÓFILO OTONI;-17.8579267;-41.5081533
IRUPI;-20.346479;-41.6392581
SANTA LEOPOLDINA;-20.0987046;-40.5269434
IPATINGA;-19.4777807;-42.5270802
CONCEIÇÃO DO CASTELO;-20.3601311;-41.2470343
PANCAS;-19.2239225;-40.8502555
CORONEL MURTA;-16.6166083;-42.1844146
ITUIUTABA;-18.9691887;-49.4639335
NOVO CRUZEIRO;-17.4674406;-41.8767107
CASTELO;-20.6022098;-41.2032124
LARANJA DA TERRA;-19.9000548;-41.0567612
SANTA MARIA DE JETIBÁ;-20.025296;-40.743931
VENDA NOVA DO IMIGRANTE;-20.3325787;-41.1295842
VITÓRIA;42.8465088;-2.6724025
TIMÓTEO;-19.5771395;-42.6436108
AFONSO CLÁUDIO;-20.0744817;-41.1251335
ITARANA;-19.8748185;-40.8762716
GOVERNADOR VALADARES;-18.8698882;-41.9459383
SABINÓPOLIS;-18.6656839;-43.0830439
SÃO JOÃO EVANGELISTA;-18.548023;-42.7652888
SÃO ROQUE DE MINAS;-20.245277;-46.365833
VIRGEM DA LAPA;-16.8071554;-42.3376458
SANTA TERESA;-19.936339;-40.597945
FELÍCIO DOS SANTOS;-18.0765035;-43.2471128
IBIÁ;-19.4771843;-46.5386956
MANHUAÇU;-20.2574434;-42.0340769
SACRAMENTO;-19.8652854;-47.4402746
SÃO PEDRO DO SUAÇUÍ;-18.365556;-42.602778
SEM-PEIXE;-20.1015407;-42.8408301
RIBEIRÃO PRETO;-21.1776315;-47.8100983
DOMINGOS MARTINS;-20.3646483;-40.6585797
BOCAIÚVA;-17.1160208;-43.8122678
BOM JESUS DO GALHO;-19.8283191;-42.3162256
CURVELO;-18.7571926;-44.4305993
ITAITUBA;-4.2625218;-55.9878139
BETIM;-19.968056;-44.198333
LUISBURGO;-20.4394;-42.1025
AMÉRICO DE CAMPOS;-20.298476;-49.735904
GUARAPARI;-20.6718755;-40.4984617
ANGELÂNDIA;-17.7253;-42.2728
ARICANDUVA;-17.8678;-42.5569
JAPARAÍBA;-20.1416346;-45.5032099
CAPUTIRA;-20.171945;-42.270278
CONSELHEIRO LAFAIETE;-20.6596107;-43.785743
ALAGOINHAS;-12.133526;-38.420772
JURAMENTO;-16.8458291;-43.5867351
LEOPOLDINA;-21.5314282;-42.6403534
SÃO DOMINGOS DAS DORES;-19.5281943;-42.0132239
JOAQUIM FELÍCIO;-17.7602437;-44.1701635
VIANA;42.5154725;-2.3713437
CHAPADA GAÚCHA;-15.2946253;-45.6284904
TRÊS PONTAS;-21.3686224;-45.5122937
SÃO ROQUE;-23.5304843;-47.1355473
CAPITÃO ENÉAS;-16.3236018;-43.7154584
CONTAGEM;-19.9132749;-44.0840953
JUIZ DE FORA;-21.7609533;-43.3501129
PEÇANHA;-18.5479498;-42.5590434
PINGO-D'ÁGUA;-19.7284768;-42.4098217
POÇOS DE CALDAS;-21.7900318;-46.5647928
UBERLÂNDIA;-18.9188041;-48.2767837
CAMAÇARI;-12.6998188;-38.3260762
CARIACICA;-20.263202;-40.416549
SERRA;39.6851966;-0.4281287
MATIPÓ;-20.2896695;-42.3426599
CASCALHO RICO;-18.579344;-47.875774
UBERABA;-19.750833;-47.936666
VARGINHA;-21.5565914;-45.4340674
JARAGUÁ;-15.7528866;-49.3344033
EWBANK DA CÂMARA;-21.551389;-43.509722
ITABIRA;-19.6190169;-43.226248
LAVRAS;-21.2425512;-44.9991978
SÃO GONÇALO DO RIO ABAIXO;-19.8252042;-43.362126
SÃO JOÃO DO MANHUAÇU;-20.3941216;-42.151281
CUIABÁ;-15.5986686;-56.0991301
ANTÔNIO DIAS;-19.6525;-42.872778
BOM JARDIM DE GOIÁS;-16.2062659;-52.172793
RORAINÓPOLIS;0.9387308;-60.4236464
ARAXÁ;-19.6009149;-46.940923
JUATUBA;-19.954001;-44.3407921
RURÓPOLIS;-4.1014311;-54.9086853
MARECHAL FLORIANO;-20.4124966;-40.6749858
PLACAS;-3.8689529;-54.2154346
ALENQUER;-1.946229;-54.738355
NOVA VIÇOSA;-17.8907712;-39.3725471
BELÉM;-1.45056;-48.4682453
ÁGUAS DA PRATA;-21.9464285;-46.7192121
MARITUBA;-1.3595306;-48.3361504
MONTE ALEGRE;-1.9989108;-54.0727694
SALVATERRA;-0.758444;-48.513921
ORIXIMINÁ;-1.7669992;-55.868285
CAMPOS DOS GOYTACAZES;-21.7546;-41.3242
SÃO JOSÉ DO POVO;-16.4647805;-54.2539044
GOIANÉSIA;-15.3118269;-49.1162001
ARACRUZ;-19.8245218;-40.2735025
VILA VELHA;-20.3297037;-40.2920174
AMPARO;-22.70111;-46.76444
BOA VISTA;2.8208478;-60.6719582
CONCÓRDIA DO PARÁ;-1.9924056;-47.9450474
SÃO SEBASTIÃO DO ALTO;-21.9555;-42.1347
MONTE ALEGRE DO SUL;-22.681861;-46.6798783
SALVADOR;-12.9822499;-38.4812772
SÃO FELIPE;-12.8413439;-39.0942048
SÃO MIGUEL DAS MATAS;-13.047749;-39.4554608
SANTA RITA DE CÁSSIA;-11.0013969;-44.5209684
ITUBERÁ;-13.7360764;-39.1481058
CATU;-12.351274;-38.379108
OURIÇANGAS;-12.0105291;-38.6259109
PEDRÃO;-12.1451302;-38.6466197
SAÚDE;-10.9087331;-40.361588
SOCORRO;-22.5902619;-46.5249112
FEIRA DE SANTANA;-12.2578934;-38.9598047
BRAGANÇA PAULISTA;-22.9520235;-46.5418586
TUIUTI;-22.819324;-46.6937627
CORDEIROS;-15.0397219;-41.9314228
SÃO GONÇALO DOS CAMPOS;-12.4339991;-38.9488082
RIO DAS FLORES;-22.1683478;-43.5858689
SÃO JOÃO DA BALIZA;0.951659;-59.913293
ESPLANADA;-11.800614;-37.9453
ITAPARICA;-12.8936023;-38.6798141
CAMPINAS;-22.9056391;-47.059564
BIRITINGA;-11.6227908;-38.8066738
ICHU;-11.7486496;-39.1926411
GOIANIRA;-16.5001973;-49.4254788
SANTARÉM;-2.438489;-54.699611
TUCURUÍ;-3.766334;-49.6663654
PINHALZINHO;-22.7824349;-46.5901718
CURUÁ;-1.887754;-55.116842
NOVO REPARTIMENTO;-4.2519172;-49.9524257
ÓBIDOS;-1.901072;-55.520812
LAURO DE FREITAS;-12.89242;-38.3127691
MACAÉ;-22.2828305;-41.9649091
PAULO AFONSO;-9.3991006;-38.226711
CANDEIAS;-12.6693806;-38.5406462
RIACHÃO DO JACUÍPE;-11.8071084;-39.3816843
PIÇARRA;-6.4475822;-48.8633795
ESPÍRITO SANTO DO PINHAL;-22.1929522;-46.7470021
BARROCAS;-11.5338665;-39.0802106
CARMO;-21.9338;-42.6084
MARICÁ;-22.9088759;-42.8171914
MATA DE SÃO JOÃO;-12.530685;-38.300898
SÃO FRANCISCO DO CONDE;-12.628108;-38.6811326
NOVA CRIXÁS;-14.0968848;-50.3396014
NITERÓI;-22.8884;-43.1147
PETRÓPOLIS;-22.5075743;-43.1785356
VINHEDO;-23.0298535;-46.9749847
PIRACAIA;-23.052545;-46.359374
PEDRA BELA;-22.7950193;-46.4431811
SANTA MARIA MADALENA;-21.9518563;-41.9000248
IRARÁ;-12.0420271;-38.7635638
MACUCO;-21.9849747;-42.2539464
LOUVEIRA;-23.08639;-46.95056
GUAPIMIRIM;-22.5266308;-42.9790687
PORTO VELHO;-8.7494525;-63.8735438
SÃO JOÃO DEL REI;-21.1335755;-44.2588086
ALÉM PARAÍBA;-21.8760576;-42.6810473
JUNDIAÍ;-23.1887668;-46.884506
GONÇALVES;-22.658883;-45.8558405
LAGOA DOURADA;-20.914444;-44.077778
ITATIBA;-23.0055542;-46.8397726
CAMPO LIMPO PAULISTA;-23.207791;-46.788919
ATIBAIA;-23.1177393;-46.5547861
SÃO PAULO;-23.5506507;-46.6333824
JARINU;-23.0949649;-46.7148565
ENTRE RIOS DE MINAS;-20.670834;-44.065556
CAJAMAR;-23.3561111;-46.8769444
MAIRIPORÃ;-23.3190348;-46.5876377
MIGUEL PEREIRA;-22.4539417;-43.4691978
TANGUÁ;-22.7353777;-42.7202272
SANTANA DO DESERTO;-21.95;-43.166667
NAZARÉ PAULISTA;-23.1819309;-46.3992986
NAZARENO;-21.2189807;-44.6151354
MORUNGABA;-22.88;-46.79167
CAETÉ;-19.897777;-43.670278
NOVA LIMA;-19.9854089;-43.8470691
SABARÁ;-19.8900372;-43.8107916
CAIEIRAS;-23.3644621;-46.7484765
CASA GRANDE;-20.7937571;-43.928693
BOM JESUS DOS PERDÕES;-23.1353864;-46.4648052
CONGONHAS;-20.5015168;-43.8564586
MAR DE ESPANHA;-21.866945;-43.01
EXTREMA;-22.8548355;-46.3184553
FRANCO DA ROCHA;-23.3328038;-46.724446
ALVINÓPOLIS;-20.1105199;-43.0601805
ESMERALDAS;-19.7613111;-44.3145945
MAIRINQUE;-23.5401247;-47.1846323
ITAPECERICA DA SERRA;-23.7176303;-46.8492435
MADRE DE DEUS DE MINAS;-21.482223;-44.329723
NOVA IGUAÇU;-22.7592175;-43.4508728
GUARULHOS;-23.4675941;-46.5277704
MATIAS BARBOSA;-21.8691643;-43.3180624
SIMÃO PEREIRA;-21.963611;-43.311667
MARIANA;-20.3781468;-43.4174862
RIO NOVO DO SUL;-20.8641487;-40.9384378
SANTO ANTÔNIO DO AVENTUREIRO;-21.7579052;-42.815566
PIEDADE;-23.7074096;-47.4252319
SOROCABA;-23.5003451;-47.4582864
IGARATÁ;-23.2063475;-46.156934
SUMIDOURO;-22.0455;-42.6735
IBIÚNA;-23.6544825;-47.220856
BELMIRO BRAGA;-21.9486291;-43.413564
PIAU;-21.5074738;-43.320587
COTIA;-23.603889;-46.918889
VARGEM GRANDE PAULISTA;-23.599338;-47.022038
TAUBATÉ;-23.031448;-45.5612792
VOTORANTIM;-23.5383101;-47.4422496
BELA VISTA DE MINAS;-19.8289721;-43.0973688
SÃO LOURENÇO DA SERRA;-23.8535923;-46.9440587
BRUMADINHO;-20.143611;-44.2
ITABIRITO;-20.2519724;-43.8029171
ANGRA DOS REIS;-23.1555405;-44.2344809
SANTA BÁRBARA;-19.959444;-43.415278
ITATIAIUÇU;-20.1975724;-44.4224889
LIMA DUARTE;-21.842777;-43.792777
PIRANGA;-20.685;-43.3
RIO MANSO;-20.265079;-44.3090284
QUELUZITO;-20.7400782;-43.8847712
RESSAQUINHA;-21.063056;-43.762778
JACAREÍ;-23.3050682;-45.9723075
ITAGUARA;-20.391389;-44.488055
PORTO FIRME;-20.672778;-43.084444
BONFIM;-20.3266626;-44.2386157
PRESIDENTE BERNARDES;-20.7685467;-43.1877237
BARÃO DE COCAIS;-19.9452437;-43.4870298
BARRA MANSA;-22.4852784;-44.19707
RIO DE JANEIRO;-22.9110137;-43.2093727
VALENÇA;-22.2461028;-43.6996917
EMBU-GUAÇU;-23.8317997;-46.8156204
ANTÔNIO CARLOS;-21.318334;-43.746666
MOEDA;-20.333056;-44.0525
TAPIRAÍ;-23.9638345;-47.5067136
CARMO DA MATA;-20.558334;-44.8703774
ITAÚNA;-20.075556;-44.576389
NOVA UNIÃO;-19.6901893;-43.580107
PAULA CÂNDIDO;-20.8737735;-42.9862733
SENHORA DE OLIVEIRA;-20.793889;-43.344166
SEROPÉDICA;-22.7438887;-43.6991998
SALTO DE PIRAPORA;-23.6492502;-47.5729465
BOM JESUS DO AMPARO;-19.7045132;-43.4752911
CACHOEIRA DE MINAS;-22.3554043;-45.7796324
CAMANDUCAIA;-22.755278;-46.144444
RESENDE COSTA;-20.921945;-44.237777
RIBEIRÃO DAS NEVES;-19.7672898;-44.0875436
SILVEIRÂNIA;-21.158611;-43.215556
DUAS BARRAS;-22.0522519;-42.5194705
SANTA ISABEL;-23.3194222;-46.2271903
CAPELA NOVA;-20.9236773;-43.6179487
CONGONHAL;-22.1532505;-46.0404698
PARATY;-23.1415413;-44.7610795
OLARIA;-21.8607194;-43.9370942
OURO PRETO;-20.385527;-43.5035214
SARAPUÍ;-23.63974;-47.824863
ITU;-23.2637798;-47.2998462
PILAR DO SUL;-23.8121684;-47.7201865
SÃO JOSÉ DOS CAMPOS;-23.1867782;-45.8854538
ALFREDO VASCONCELOS;-21.145833;-43.776389
SANTANA DO PARAÍSO;-19.3652914;-42.5494833
SAPUCAÍ-MIRIM;-22.7480012;-45.7427651
ARARUAMA;-22.8733203;-42.3428897
ENGENHEIRO PAULO DE FRONTIN;-22.5504556;-43.6783403
VOLTA REDONDA;-22.521856;-44.1040128
SÃO MIGUEL ARCANJO;-23.8807771;-47.9963492
SETE LAGOAS;-19.466111;-44.246944
CAPELA DO ALTO;-23.4704798;-47.7352309
ITATIAIA;-22.4955278;-44.5633108
IJACI;-21.1700929;-44.9280621
PEDRO DE TOLEDO;-24.2769071;-47.23393
TAMBAÚ;-21.70292;-47.270344
NEPOMUCENO;-21.232744;-45.2352276
PIRAÍ;-22.6550812;-43.9193061
JUQUIÁ;-24.3172209;-47.6355618
SÃO SEBASTIÃO;-23.8027866;-45.4070527
BANANAL;-22.6820178;-44.3221805
SUZANO;-23.5427842;-46.3108391
VALINHOS;-22.97056;-46.99583
ANDRADAS;-22.0693412;-46.5707584
CAMPOS DO JORDÃO;-22.738299;-45.5903769
PINDAMONHANGABA;-22.9364;-45.4622602
ITANHAÉM;-24.1833421;-46.7896229
UBATUBA;-23.433162;-45.083415
JOANÓPOLIS;-22.930004;-46.275208
SANTOS DUMONT;-21.455867;-43.5522107
CACHOEIRAS DE MACACU;-22.4626861;-42.6534414
TIRADENTES;-21.1104688;-44.1742937
CONCEIÇÃO DO RIO VERDE;-21.881078;-45.0868526
MANGARATIBA;-22.9415964;-44.1181916
BRÁS PIRES;-20.8483109;-43.2430524
ITAJUBÁ;-22.4238234;-45.4524156
SÃO PEDRO DA ALDEIA;-22.8384835;-42.1031604
SILVA JARDIM;-22.6509706;-42.3947353
CARAGUATATUBA;-23.62028;-45.41306
PERUÍBE;-24.3218105;-46.9977452
BARRA DO PIRAÍ;-22.4242692;-43.8935244
ÁGUAS DE LINDÓIA;-22.4718855;-46.6291034
ALTO ALEGRE;2.9900927;-61.3089649
CASIMIRO DE ABREU;-22.4756154;-42.1522235
PARIQUERA-AÇU;-24.7146891;-47.8802361
ITAPEVA;-23.9849105;-48.8803886
REGISTRO;-24.497942;-47.844895
ANTONINA;-25.4298854;-48.7125431
BARRA DO CHAPÉU;-24.472203;-49.023784
MORRETES;-25.4768503;-48.8322501
PARANAGUÁ;-25.5148822;-48.5226695
SÃO JOSÉ DOS PINHAIS;-25.533816;-49.2072163
GARUVA;-26.0294904;-48.8545202
CASTRO;-24.794072;-49.9972914
SETE BARRAS;-24.3878438;-47.9265798
JAGUARIAÍVA;-24.2589699;-49.7201518
IPIRANGA;-25.0239759;-50.5854615
CAMPO LARGO;-25.4597726;-49.5270851
CARAMBEÍ;-24.9513298;-50.1171293
BALSA NOVA;-25.5842234;-49.6312741
JOINVILLE;-26.3044898;-48.8486726
PONTA GROSSA;-25.0891685;-50.1601812
PIRAÍ DO SUL;-24.5346602;-49.9399216
TIBAGI;-24.5151667;-50.4101487
INDAIAL;-26.8901747;-49.2416736
JARAGUÁ DO SUL;-26.4897432;-49.0778063
TAQUARIVAÍ;-23.9257829;-48.7005328
AURORA;-27.3303876;-49.5865796
APIÚNA;-27.0374658;-49.3885037
