MUN_OCOR;Latitude;Longitude
LINHA NOVA;-29.467709;-51.2001125
MANOEL VIANA;-29.585935;-55.484112
SÃO JOÃO DA LAGOA;-16.851502;-44.3460615
SÃO BONIFÁCIO;-27.900907;-48.932608
URUSSANGA;-28.5191381;-49.3201776
ICARAÍ DE MINAS;-16.2176592;-44.9023441
UBAÍ;-16.2925001;-44.7823835
CHUVISCA;-30.7543186;-51.9790909
PEDRAS GRANDES;-28.4357866;-49.1864128
AFUÁ;-0.1573523;-50.3908023
ITAPAGIPE;-19.9033884;-49.3666934
PALMEIRÓPOLIS;-13.0428105;-48.4065223
FERNANDES PINHEIRO;-25.4148066;-50.5489837
SÃO BORJA;-28.6592237;-56.0044295
RIOZINHO;-29.6404582;-50.4596262
TRÊS COROAS;-29.5155023;-50.7770635
BUENO BRANDÃO;-22.441421;-46.3475825
SANTA RITA DE CALDAS;-22.028889;-46.336944
IPUIÚNA;-22.0993203;-46.1896557
COLINA;-20.711443;-48.53867
TOLEDO;-22.7433969;-46.3735044
OSASCO;-23.5324859;-46.7916801
CÓRREGO DO BOM JESUS;-22.630556;-46.019723
PITANGUEIRAS;-21.013203;-48.220951
ESTIVA;-22.4638686;-46.0182101
POÇO FUNDO;-21.780834;-45.965
PARAISÓPOLIS;-22.5541683;-45.7800024
SERRA AZUL;-21.3132591;-47.5635821
CRAVINHOS;-21.340278;-47.729444
ALBERTINA;-22.200556;-46.615556
SANTA RITA DO PASSA QUATRO;-21.7103738;-47.4777943
LUÍS ANTÔNIO;-21.5456242;-47.7813726
CAÇAPAVA;-23.099204;-45.707645
PONTE NOVA;-20.4164353;-42.90878
DESCALVADO;-21.9090404;-47.6203241
VIRGÍNIA;-22.333333;-45.091666
