UF_LPI,MUN_LPI,Latitude,Longitude
MG,SABINÓPOLIS,-18.6656839,-43.0830439
MG,GUANHÃES,-18.7753627,-42.9340634
MG,SENHORA DO PORTO,-18.8905778,-43.0844887
MT,CÁCERES,-16.0644068,-57.6878972
MG,MATERLÂNDIA,-18.473889,-43.06
MT,TAPURAH,-12.742385,-56.512037
AM,URUCURITUBA,-3.1304332,-58.1549157
MT,TANGARÁ DA SERRA,-14.6213903,-57.4907268
PA,PARAUAPEBAS,-6.0696846,-49.8903283
AM,CODAJÁS,-3.8413202,-62.0603444
MT,NOVA UBIRATÃ,-13.03484,-55.2539048
RR,CAROEBE,0.8808696,-59.6963796
GO,JATAÍ,-17.8856178,-51.7202967
AM,MAUÉS,-3.3795798,-57.7196072
GO,GOIÂNIA,-16.680882,-49.2532691
MT,JUARA,-11.2535587,-57.5080072
GO,GOIANÉSIA,-15.3118269,-49.1162001
GO,LUZIÂNIA,-16.2535456,-47.9500276
GO,PIRENÓPOLIS,-15.8501619,-48.957317
MS,BONITO,-21.1264766,-56.4902208
GO,CALDAS NOVAS,-17.745,-48.625
GO,CRISTIANÓPOLIS,-17.2010889,-48.7060055
GO,ABADIÂNIA,-16.1940946,-48.7067767
GO,RUBIATABA,-15.1629793,-49.8005102
MS,ÁGUA CLARA,-20.4385757,-52.8797496
GO,MARZAGÃO,-17.980597,-48.6430322
MS,MARACAJU,-21.6163005,-55.164605
GO,CRIXÁS,-14.5424536,-49.9694813
GO,CATALÃO,-18.1702546,-47.9447082
MT,NOVO SÃO JOAQUIM,-14.9108231,-53.01775
MS,ARAL MOREIRA,-22.951141,-55.6268421
MG,UNAÍ,-16.3628767,-46.892413
MS,RIBAS DO RIO PARDO,-20.4477984,-53.7609001
PR,LARANJAL,-24.8909736,-52.4726747
MT,GUARANTÃ DO NORTE,-9.9517992,-54.9098178
SP,LUÍS ANTÔNIO,-21.545624150000002,-47.78137264632878
SP,SÃO CARLOS,-21.87880225,-47.85676193964187
PA,NOVO REPARTIMENTO,-4.2519172,-49.9524257
RS,AUGUSTO PESTANA,-28.5148413,-53.9906433
RS,SANTO ÂNGELO,-28.3000481,-54.2669971
RS,PIRAPÓ,-28.045428,-55.1987198
RS,JÓIA,-28.6465036,-54.1199165
RS,BOSSOROCA,-28.7278885,-54.9120278
RS,ESPUMOSO,-28.7256962,-52.8453751
SP,SARUTAIÁ,-23.2747217,-49.477186
SP,PIRAJU,-23.1938491,-49.3842588
SP,ITATINGA,-23.1042417,-48.6134874
SP,BURI,-23.79849,-48.598924
RS,SANTA CRUZ DO SUL,-29.714209,-52.4285807
RS,VERA CRUZ,-29.7157235,-52.5007403
SP,AVARÉ,-23.1045215,-48.9259103
MT,FELIZ NATAL,-12.3802463,-54.9389793
MG,UBÁ,-21.12,-42.942777
MT,UNIÃO DO SUL,-11.5308712,-54.3695643
RS,IJUÍ,-28.3878734,-53.9201692
MS,CORUMBÁ,-19.0016365,-57.6534316
PA,BAGRE,-1.8994498,-50.2103844
PA,TAILÂNDIA,-2.936096,-48.9523366
PA,ACARÁ,-1.961388,-48.1987043
PA,MONTE ALEGRE,-1.9989108,-54.0727694
GO,SÃO MIGUEL DO ARAGUAIA,-13.2726442,-50.1627219
GO,CUMARI,-18.2644369,-48.1511341
SP,BADY BASSITT,-20.9178969,-49.4517911
GO,SÃO LUÍS DE MONTES BELOS,-16.5210639,-50.3726281
GO,SENADOR CANEDO,-16.7013233,-49.0914921
AM,ITAPIRANGA,-2.7461205,-58.025377
SP,RIBEIRÃO PRETO,-21.1776315,-47.8100983
MG,CARATINGA,-19.7900887,-42.140533
MG,LADAINHA,-17.627754,-41.738196
MG,MALACACHETA,-17.8428204,-42.0786194
MG,FREI GASPAR,-18.0633426,-41.4300673
MG,ITAMBACURI,-18.0391974,-41.6751876
MG,PIEDADE DE CARATINGA,-19.7601211,-42.0767321
MG,IMBÉ DE MINAS,-19.5989453,-41.9694294
MG,UBAPORANGA,-19.6344637,-42.1073048
MG,ENTRE FOLHAS,-19.6258823,-42.2328975
MG,IPANEMA,-19.7999954,-41.7138807
MG,INHAPIM,-19.5501834,-42.1209879
MG,NOVO CRUZEIRO,-17.4674406,-41.8767107
MG,POTÉ,-17.8074949,-41.7892455
MG,ÁGUA BOA,-17.9956411,-42.3899261
MG,ITANHOMI,-19.171111,-41.864167
MG,SANTA RITA DO ITUETO,-19.3576722,-41.3801488
MG,SÃO SEBASTIÃO DO MARANHÃO,-18.0859051,-42.5694478
SP,SANTA LÚCIA,-21.6861811,-48.0836814
MG,TEÓFILO OTONI,-17.8579267,-41.5081533
MG,PAULISTAS,-18.4268235,-42.8689535
MG,DELFINÓPOLIS,-20.344749,-46.8546425
MG,LAJINHA,-20.1520595,-41.6240623
ES,IBATIBA,-20.2342792,-41.5082981
ES,ITARANA,-19.8748185,-40.8762716
MG,BOM JESUS DO GALHO,-19.8283191,-42.3162256
MG,JOSÉ RAYDAN,-18.2220672,-42.4991123
MG,ITUETA,-19.3962456,-41.2263075
SP,SANTA CRUZ DO RIO PARDO,-22.9060715,-49.6277378
MG,SANTA BÁRBARA DO LESTE,-19.978334,-42.140555
MG,SETUBINHA,-17.6001378,-42.1620269
MG,SANTA MARIA DO SUAÇUÍ,-18.1894783,-42.4188445
MG,VARGEM BONITA,-20.3282116,-46.3668419
ES,PANCAS,-19.2239225,-40.8502555
TO,XAMBIOÁ,-6.4084693,-48.5336069
MG,CAPITÓLIO,-20.6114193,-46.13265426745741
ES,AFONSO CLÁUDIO,-20.0744817,-41.1251335
ES,SÃO ROQUE DO CANAÃ,-19.7385942,-40.6598575
MG,SIMONÉSIA,-20.1233838,-42.0024294
MG,MANHUAÇU,-20.2574434,-42.0340769
SP,AMÉRICO BRASILIENSE,-21.7297099,-48.1052092
ES,MUNIZ FREIRE,-20.4636068,-41.4137007
ES,LARANJA DA TERRA,-19.9000548,-41.0567612
ES,COLATINA,-19.5346732,-40.6287836
RJ,CASIMIRO DE ABREU,-22.47561545,-42.152223464508396
PA,ALENQUER,-1.946229,-54.738355
ES,IRUPI,-20.346479,-41.6392581
MG,SANTANA DO MANHUAÇU,-20.1075,-41.925556
MG,SÃO JOSÉ DO JACURI,-18.2773091,-42.6714372
ES,SERRA,-20.1252961,-40.3064477
ES,VITÓRIA,-20.3200917,-40.3376682
ES,SANTA LEOPOLDINA,-20.0987046,-40.5269434
MG,COLUNA,-18.2327272,-42.8402912
MG,SÃO JOSÉ DO MANTIMENTO,-20.003958,-41.7458061
MG,CONCEIÇÃO DE IPANEMA,-19.9290384,-41.6905072
MG,MINAS NOVAS,-17.2174817,-42.5948698
MG,ALVARENGA,-19.4175,-41.728334
MG,IPATINGA,-19.4777807,-42.5270802
MG,JANUÁRIA,-15.4875,-44.361111
MG,POCRANE,-19.6201477,-41.6365906
ES,BAIXO GUANDU,-19.5138322,-41.0182089
SP,MONTE ALEGRE DO SUL,-22.681861,-46.6798783
ES,SÃO MATEUS,-18.7146049,-39.8539499
ES,DOMINGOS MARTINS,-20.3646483,-40.6585797
ES,SANTA MARIA DE JETIBÁ,-20.025296,-40.743931
MG,AIMORÉS,-19.4917754,-41.0615603
ES,CARIACICA,-20.263202,-40.416549
ES,CASTELO,-20.6022098,-41.2032124
RJ,MACAÉ,-22.28283055,-41.96490906592897
MG,RAUL SOARES,-20.102222,-42.451944
SP,CAMPINAS,-22.9056391,-47.059564
ES,BREJETUBA,-20.1465817,-41.2902303
ES,VIANA,-20.3914471,-40.4966587
ES,MARECHAL FLORIANO,-20.4124966,-40.6749858
MG,CANAÃ,-20.685555,-42.62
MG,CHALÉ,-20.0419425,-41.6909618
RJ,MARICÁ,-22.9196772,-42.8184375
MG,MUTUM,-19.817223,-41.438333
SP,TUIUTI,-22.819324,-46.6937627
RJ,SILVA JARDIM,-22.6509706,-42.3947353
RJ,SANTA MARIA MADALENA,-21.9518563,-41.900024844029616
SP,ÁGUAS DA PRATA,-21.9464285,-46.7192121
ES,SANTA TERESA,-19.936339,-40.597945
MG,MANHUMIRIM,-20.3599141,-41.9554606
MG,CARAÍ,-17.1884104,-41.6976554
MG,DURANDÉ,-20.2026282,-41.798777
ES,CONCEIÇÃO DO CASTELO,-20.3601311,-41.2470343
MG,REDUTO,-20.2442531,-41.9839974
ES,ITAGUAÇU,-19.8032523,-40.8564458
ES,MUQUI,-20.9509368,-41.3444285
GO,AMORINÓPOLIS,-16.6211308,-51.0949921
MG,SANTA RITA DE MINAS,-19.8745404,-42.1325122
MG,FELÍCIO DOS SANTOS,-18.0765035,-43.2471128
MG,ESMERALDAS,-19.7613111,-44.3145945
MG,MARTINS SOARES,-20.2574182,-41.8771753
SP,BATATAIS,-20.892867,-47.592149
MG,PADRE PARAÍSO,-17.0750322,-41.4850334
MG,PEDRA AZUL?,-16.0058567,-41.2793731
MG,PEÇANHA,-18.5479498,-42.5590434
MG,SÃO JOÃO EVANGELISTA,-18.548023,-42.7652888
MG,NANUQUE,-17.8393915,-40.3494631
MG,OURO VERDE DE MINAS,-18.0695301,-41.272395
MG,FRANCISCÓPOLIS,-17.9591636,-42.0088582
MG,VARGEM GRANDE DO RIO PARDO,-15.4027415,-42.311441
MG,MATIPÓ,-20.2896695,-42.3426599
ES,IBITIRAMA,-20.5394377,-41.6644451
ES,LINHARES,-19.3800908,-40.060306
ES,MARILÂNDIA,-19.4117824,-40.5442916
ES,ARACRUZ,-19.8245218,-40.2735025
MG,CONSELHEIRO PENA,-19.1720883,-41.471995
MG,CAPELINHA,-17.693889,-42.518611
MG,CARANGOLA,-20.733638,-42.0299412
MG,FORTUNA DE MINAS,-19.561662,-44.4451854
ES,VARGEM ALTA,-20.6733324,-41.0107231
MG,DIVINO,-20.6151497,-42.1474733
ES,CACHOEIRO DE ITAPEMIRIM,-20.848084,-41.11129
MG,JEQUITINHONHA,-16.4335098,-41.0035557
ES,VENDA NOVA DO IMIGRANTE,-20.3325787,-41.1295842
